isTestnet,nativeChainId,chainKey,chainName,environment,chainLayer,chainStack,currency,decimals,cgId,cmcId,eid,endpointV2,endpointV2View,executor,lzExecutor,sendUln302,receiveUln302,blockedMessageLib
true,1300,glue-testnet,glue,testnet,2,0,MATIC,18,polygon-ecosystem-token,28321,40296,0x6EDCE65403992e310A62460808c4b910D972f10f,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x12523de19dc41c91F7d2093E0CFbB76b17012C8d,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x45841dd1ca50265Da7614fC43A361e526c0e6160,0xd682ECF100f6F4284138AA925348633B0611Ae21,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,1301,kevnet-testnet,kevnet,testnet,2,1,ETH,18,ethereum,1027,40328,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0x9A289B849b32FF69A95F8584a03343a33Ff6e5Fd,0x1d186C560281B8F1AF831957ED5047fD3AB902F9,0x53fd4C4fBBd53F6bC58CaE6704b92dB1f360A648,0x6f09f1430c4c204c4b5433abe24c15f342b70699
true,1301,unichain-testnet,unichain,testnet,2,1,ETH,18,ethereum,1027,40333,0xb8815f3f882614048CbE201a67eF9c6F10fe5035,0x7110205FA59d9CfEE406293D0BaE0d6240985Cd3,0x8548b148800BB00C6E4039Aa9C20ebb36a36A600,0x0e6DdC254A6Cd8395D7795D03d4023453AdBBf62,0x72e34F44Eb09058bdDaf1aeEebDEC062f1844b00,0xbEA34F26b6FBA63054e4eD86806adce594A62561,0x5f6d188267cd4b175ad7430ddf3346906177dc69
true,1414,siliconsepolia-testnet,siliconsepolia,testnet,1,0,ETH,18,ethereum,,40406,0x3aCAAf60502791D199a5a5F0B173D78229eBFe32,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x45841dd1ca50265Da7614fC43A361e526c0e6160,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xa229b65cc2191bf60bc24efcda3487d7b5c0c9f0
true,1439,injective1439-testnet,injective1439,testnet,1,0,INJ,18,injective-protocol,7226,40408,0x3aCAAf60502791D199a5a5F0B173D78229eBFe32,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x9eCf72299027e8AeFee5DC5351D6d92294F46d2b,0xB0487596a0B62D1A71D0C33294bd6eB635Fc6B09,0xa229b65cc2191bf60bc24efcda3487d7b5c0c9f0
true,1663,eon-testnet,eon,testnet,2,0,ZEN,18,zencash,1698,40215,,,,,,,
true,1811,lif3-testnet,lif3,testnet,2,0,LIF3,18,lif3,20611,40300,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,1891,lightlink-testnet,lightlink,testnet,2,0,ETH,18,ethereum,1027,40309,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,1924,swell-testnet,swell,testnet,2,1,ETH,18,ethereum,1027,40353,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,1946,minato-testnet,minato,testnet,2,1,ETH,18,ethereum,1027,40334,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0xd682ECF100f6F4284138AA925348633B0611Ae21,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x4dFa426aEAA55E6044d2b47682842460a04aF45c,0x00C5C0B8e0f75aB862CbAaeCfff499dB555FBDD2,0x1d186C560281B8F1AF831957ED5047fD3AB902F9,0xa97f783e717567ab8d0fc72110714f4fa7967373
true,1992,sanko-testnet,sanko,testnet,1,2,DMT,18,,25653,40278,0x6EDCE65403992e310A62460808c4b910D972f10f,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x12523de19dc41c91F7d2093E0CFbB76b17012C8d,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x45841dd1ca50265Da7614fC43A361e526c0e6160,0xd682ECF100f6F4284138AA925348633B0611Ae21,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,2037,kiwi-testnet,kiwi,testnet,1,3,SHRAP,18,shrapnel-2,28363,40209,,,,,,,
true,2037,kiwi2-testnet,kiwi2,testnet,1,3,SHRAP,18,shrapnel-2,28363,40241,,,,,,,
true,2038,shrapnel-testnet,shrapnel,testnet,1,3,SHRAP,18,shrapnel-2,28363,40164,,,,,,,
true,2201,stabledevnet-testnet,stabledevnet,testnet,2,0,USDT,18,,825,40361,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,2201,stable-testnet,stable,testnet,2,0,USDT,18,,825,40374,0x3aCAAf60502791D199a5a5F0B173D78229eBFe32,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x9eCf72299027e8AeFee5DC5351D6d92294F46d2b,0xB0487596a0B62D1A71D0C33294bd6eB635Fc6B09,0xa229b65cc2191bf60bc24efcda3487d7b5c0c9f0
true,2221,kava-testnet,kava,testnet,1,0,KAVA,18,kava,4846,40172,0x6EDCE65403992e310A62460808c4b910D972f10f,0x8c2Bc80592FC4E89b536f536159A50F25eA99925,0x13EA72039D7f02848CDDd67a2F948dd334cDE70e,0xAF1e8A7Ea4f30E3CBa6Bc2d87eCa1086C16ff8d3,0x4B68C45f6A276485870D56f1699DCf451FEC076F,0x3De74963B7223343ffD168e230fC4e374282d37b,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
